customer_tweet_id,gold_intent,top_similarity,retrieved_intents,first_same_intent_rank
2408490,device_performance,0.8596347570419312,device_performance|device_performance|device_performance|device_performance|device_performance,1.0
2945713,apple_app_service,0.8897519111633301,apple_app_service|apple_app_service|apple_app_service|purchase_payment_order|software_update,1.0
811798,apple_id_account,0.791954517364502,apple_id_account|apple_id_account|apple_id_account|apple_id_account|apple_id_account,1.0
556081,photos_media,0.861990213394165,photos_media|photos_media|photos_media|photos_media|photos_media,1.0
2408534,messaging,0.8198012113571167,messaging|messaging|messaging|messaging|messaging,1.0
1298533,keyboard_text_input,0.7219417095184326,software_update|software_update|keyboard_text_input|messaging|keyboard_text_input,3.0
2432846,connectivity,0.6860638856887817,connectivity|connectivity|connectivity|connectivity|connectivity,1.0
333222,purchase_payment_order,0.7908890247344971,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
2476283,purchase_payment_order,0.751102089881897,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
2341904,battery_charging,0.7678418159484863,battery_charging|battery_charging|battery_charging|battery_charging|battery_charging,1.0
2271656,connectivity,0.628848671913147,purchase_payment_order|messaging|connectivity|software_update|device_performance,3.0
549572,software_update,0.7924807071685791,software_update|software_update|software_update|software_update|software_update,1.0
396971,connectivity,0.8626662492752075,connectivity|purchase_payment_order|software_update|connectivity|software_update,1.0
1784960,device_performance,0.8592312335968018,software_update|software_update|software_update|software_update|software_update,
553676,purchase_payment_order,0.8054523468017578,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
1505180,battery_charging,0.789578914642334,battery_charging|battery_charging|battery_charging|battery_charging|battery_charging,1.0
319973,photos_media,0.8461133241653442,photos_media|photos_media|photos_media|photos_media|photos_media,1.0
1924248,device_performance,0.8313591480255127,device_performance|device_performance|device_performance|device_performance|device_performance,1.0
2300675,connectivity,0.8028135299682617,software_update|connectivity|connectivity|connectivity|software_update,2.0
2813598,messaging,0.8116679787635803,messaging|messaging|messaging|software_update|messaging,1.0
1557612,keyboard_text_input,0.6849583387374878,keyboard_text_input|keyboard_text_input|keyboard_text_input|software_update|battery_charging,1.0
393589,photos_media,0.9001146554946899,photos_media|photos_media|photos_media|photos_media|photos_media,1.0
2750485,device_performance,0.8031123280525208,device_performance|device_performance|device_performance|device_performance|device_performance,1.0
2449499,connectivity,0.7609692811965942,connectivity|connectivity|connectivity|connectivity|connectivity,1.0
243322,connectivity,0.7795835733413696,connectivity|connectivity|connectivity|connectivity|connectivity,1.0
2376112,device_performance,0.8733341693878174,device_performance|device_performance|device_performance|device_performance|device_performance,1.0
617244,connectivity,0.7838715314865112,connectivity|connectivity|software_update|connectivity|connectivity,1.0
1762925,messaging,0.7764453887939453,messaging|messaging|messaging|messaging|messaging,1.0
2036539,messaging,0.7231462597846985,messaging|software_update|messaging|messaging|battery_charging,1.0
2945805,apple_app_service,0.7239375114440918,battery_charging|battery_charging|battery_charging|apple_app_service|battery_charging,4.0
413750,apple_app_service,0.8084768056869507,apple_app_service|apple_app_service|apple_app_service|software_update|apple_app_service,1.0
1149736,battery_charging,0.8426858186721802,battery_charging|battery_charging|battery_charging|battery_charging|battery_charging,1.0
148233,connectivity,0.8706948757171631,connectivity|connectivity|connectivity|connectivity|connectivity,1.0
1219228,photos_media,0.8336975574493408,photos_media|photos_media|photos_media|photos_media|photos_media,1.0
1496700,keyboard_text_input,0.8397682905197144,keyboard_text_input|keyboard_text_input|keyboard_text_input|keyboard_text_input|keyboard_text_input,1.0
2923922,messaging,0.6984511613845825,messaging|messaging|messaging|messaging|messaging,1.0
1522655,messaging,0.746427595615387,messaging|messaging|messaging|messaging|messaging,1.0
2466451,purchase_payment_order,0.7659825086593628,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
1138013,connectivity,0.8242970705032349,connectivity|connectivity|connectivity|connectivity|connectivity,1.0
1011838,connectivity,0.7687072157859802,connectivity|software_update|software_update|connectivity|connectivity,1.0
1788623,device_performance,0.8712236881256104,software_update|software_update|software_update|software_update|software_update,
177037,apple_id_account,0.6697618365287781,apple_id_account|apple_id_account|apple_id_account|apple_id_account|apple_id_account,1.0
2631620,apple_id_account,0.911252498626709,apple_id_account|apple_id_account|apple_id_account|apple_id_account|apple_id_account,1.0
1623384,messaging,0.756918728351593,messaging|messaging|messaging|messaging|messaging,1.0
2568137,software_update,0.9303724765777588,software_update|software_update|software_update|software_update|software_update,1.0
2739462,apple_id_account,0.7340651750564575,apple_id_account|apple_id_account|apple_id_account|apple_id_account|apple_id_account,1.0
2899002,apple_app_service,0.8683604001998901,apple_app_service|apple_app_service|apple_app_service|apple_app_service|apple_app_service,1.0
398846,photos_media,0.7171642184257507,photos_media|photos_media|software_update|photos_media|photos_media,1.0
430747,device_performance,0.8407794237136841,device_performance|device_performance|device_performance|device_performance|device_performance,1.0
1467479,keyboard_text_input,0.7863699197769165,keyboard_text_input|keyboard_text_input|software_update|keyboard_text_input|messaging,1.0
1676852,purchase_payment_order,0.8405740261077881,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
1387673,device_performance,0.6730803847312927,software_update|connectivity|software_update|apple_app_service|battery_charging,
2362988,messaging,0.8253353834152222,messaging|messaging|messaging|messaging|messaging,1.0
1445586,keyboard_text_input,0.7508269548416138,software_update|software_update|software_update|keyboard_text_input|keyboard_text_input,4.0
283598,connectivity,0.7551667094230652,software_update|device_performance|connectivity|connectivity|connectivity,3.0
2626449,photos_media,0.9271640181541443,photos_media|photos_media|photos_media|photos_media|photos_media,1.0
792157,device_performance,0.8299652338027954,software_update|device_performance|device_performance|device_performance|software_update,2.0
125795,purchase_payment_order,0.8647056818008423,purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order|purchase_payment_order,1.0
