customer_tweet_id,support_tweet_id,customer_author_id,customer_text,support_text,customer_created_at,support_created_at,label,candidate_score
1007604,1007603,358439,@36518 hello. Is there problem with @6716 and new @115858 update? Mine kept crashing this morning on watch and didn’t register run.,@358439 Let's work together to figure out what's going on. Tell us which Apple Watch model you're using via DM. https://t.co/GDrqU22YpT,Sat Oct 14 09:08:20 +0000 2017,Sat Oct 14 13:47:31 +0000 2017,device_performance,0.35131413
373654,373653,204545,This update got my phone going slow and battery dying easily. WTF @115858,@204545 We'd like to look into this with you. Which version of iOS 11 are you using? Please reply in DM. https://t.co/GDrqU22YpT,Sun Oct 08 23:49:02 +0000 2017,Mon Oct 09 00:27:00 +0000 2017,software_update,0.3623285
1857512,1857654,555518,@555481 @115858 Happened to me two weeks ago. All my devices are screwy and one computer is completely locked and demanding a pin #. No help at Apple yet,@555518 We'd like to help look into this with you to resolve those issues. DM us &amp; tell us more about what's going on. https://t.co/GDrqU22YpT,Thu Oct 19 07:03:46 +0000 2017,Thu Oct 19 13:33:51 +0000 2017,apple_id_account,0.42041644
2035961,2035960,601927,iOS11 are you even kidding me right now? My phone is literally hanging and lagging and it wasn’t doing that before I updated @AppleSupport,@601927 We'd love to work together on this with you. Meet us in DM with the iOS version that's currently installed: https://t.co/GDrqU22YpT,Tue Nov 07 17:19:14 +0000 2017,Tue Nov 07 19:52:27 +0000 2017,software_update,0.40976536
1847929,1847927,553398,@AppleSupport ...range of my iPhone when messages fail to send.,@553398 Understood. Does your Watch have an active cellular plan through your carrier?,Thu Oct 19 20:15:16 +0000 2017,Thu Oct 19 20:42:27 +0000 2017,messaging,0.4876492
2696037,2696039,497113,"@AppleSupport Black screen, white screen sometimes. Draining of battery, slower, and much more😒",@497113 Let's take a look at these issues for you further. Reach out to us in DM. https://t.co/GDrqU22YpT,Sun Nov 19 19:05:24 +0000 2017,Sun Nov 19 19:20:30 +0000 2017,device_performance,0.41663712
858896,858895,323923,@AppleSupport  why is my iPhone 6S which is 6 months old going from 100% to 10% battery in 3 hours whilst only listening to music on ios11??,@323923 We want your battery to work as expected. Send us a DM and we'll see what we can do to help. https://t.co/GDrqU22YpT,Fri Oct 13 10:24:26 +0000 2017,Fri Oct 13 14:11:00 +0000 2017,battery_charging,0.440861
63225,63224,130507,I️ just updated my phone again and still can’t text  I️ @AppleSupport,"@130507 We can help. What is the current iOS version you have installed? Let us know more in DM, please. https://t.co/GDrqU22YpT",Wed Nov 01 21:01:47 +0000 2017,Wed Nov 01 21:45:01 +0000 2017,messaging,0.38249862
1474122,1474124,462197,@AppleSupport The biggest issue I am having at the moment is my phone freezing and being kicked out of apps. Specifically Snapchat at the moment,@462197 Do you know if all the apps including Snapchat are up-to-date on the iPhone? Let us know in DM to proceed. https://t.co/GDrqU22YpT,Mon Oct 16 20:47:19 +0000 2017,Mon Oct 16 20:53:30 +0000 2017,software_update,0.38626242
1794929,1794928,539368,@115858 @116333 @123857 why is FaceTime Audio the most broken iPhone feature. Had an iPhone for 10yrs. This feature is always glitchy...,"@539368 Hey there, Scott! FaceTime Audio should be clearer than any other call! Hop into our DM and let us know which phone you have. https://t.co/GDrqU22YpT",Thu Oct 12 12:25:07 +0000 2017,Thu Oct 12 12:34:28 +0000 2017,apple_app_service,0.3895219
2773226,2773224,775108,@115858 I switched mobile phone network last Thursday. My apple phone was locked. 5 days on still locked. Does this make me want to purchase another Apple product? No. Poor service.,@775108 We know how important it is to have a working phone. Can you provide us with the details of your phone being locked? We'll take it from there.,Tue Nov 21 08:25:42 +0000 2017,Tue Nov 21 14:10:00 +0000 2017,apple_id_account,0.43446654
762533,762532,127032,Yo @115858 your latest update is killing my battery... was working great with previous IOS,@127032 We'd like to look into this. DM us and we'll work from there. https://t.co/GDrqU22YpT,Wed Oct 11 20:38:33 +0000 2017,Wed Oct 11 20:49:31 +0000 2017,software_update,0.40709564
1215568,1215567,405235,Hey @115858 why has my iPhone been working like crap since I did a software upgrade last week?,@405235 We'd like to help. Tell us more about what's going on to continue. https://t.co/GDrqU22YpT,Wed Oct 25 16:35:02 +0000 2017,Wed Oct 25 17:05:45 +0000 2017,software_update,0.561247
2496375,2496374,712421,@AppleSupport 3.2 gigs to 5.7 gigs. Baffling...,"@712421 Let us know via DM which device this is on, then we can help look in to this from there. https://t.co/GDrqU22YpT",Mon Oct 30 01:40:06 +0000 2017,Mon Oct 30 01:48:00 +0000 2017,apple_app_service,0.3916698
123124,123122,143499,Hey @123765 and @115858 why is Twitter app unusable on iOS without losing my podcast/music I’m alreaDy listening to? This only started today and it’s way annoying.,"@143499 We'd like to know more to assist. Which iOS are you currently using? Also, we'd like to clarify do your podcasts and music stop playback when opening the Twitter app? Let us know the details and we'll continue.",Fri Nov 24 00:24:02 +0000 2017,Fri Nov 24 00:32:29 +0000 2017,apple_app_service,0.3515034
480595,480594,229215,@AppleSupport Tried to re-download Instagram and was told I need billing information. Typed in my information exactly and it told me my information was wrong. Please fix this ASAP.,@229215 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Fri Dec 01 04:30:37 +0000 2017,Fri Dec 01 13:30:32 +0000 2017,purchase_payment_order,0.39114577
1895409,1895407,564951,@AppleSupport All I want to do is sign into the @118721 store but it says my Apple ID hasn’t been used with the store before and won’t sign,@564951 Thanks for reaching out. Are you able to sign in to our website? https://t.co/ggVDoc1mU7 Let us know via a DM. https://t.co/GDrqU22YpT,Tue Oct 24 03:52:32 +0000 2017,Tue Oct 24 12:37:07 +0000 2017,apple_id_account,0.40949816
983003,983002,353051,@AppleSupport this battery drain is insane! From 100 to 17% overnight. Really?! #ios1103 #batterydrain,@353051 Send us a DM and we'll have a closer look at this together. https://t.co/GDrqU22YpT,Sun Oct 22 09:43:24 +0000 2017,Sun Oct 22 14:40:37 +0000 2017,battery_charging,0.47270966
1918099,1918098,571257,Hey @AppleSupport your update has rendered my phone useless!,"@571257 That's not the experience we want for you, and we're here to help. DM us what's going on, and we'll get started. https://t.co/GDrqU22YpT",Thu Oct 26 04:07:46 +0000 2017,Thu Oct 26 12:31:32 +0000 2017,software_update,0.38985872
2862171,2862170,795098,@115858 what is up with my battery draining since new update? I never had an issue before! Ever! #unhappyapplefan #rottenapple,@795098 We'd like to help find the best solution because having the battery life last is greatly important. DM us which device you are using and we'll help. https://t.co/GDrqU22YpT,Mon Nov 27 22:51:35 +0000 2017,Mon Nov 27 23:01:00 +0000 2017,battery_charging,0.47995946
407101,407098,212031,@AppleSupport @115858 come on my 6s is mad slow now that I updated and it also says no internet when I’m clearly connected.such trash #iOS11,"@212031 Let's work together &amp; check this out. In Settings &gt; General &gt; About, are you on 11.0.2?",Mon Oct 09 20:50:40 +0000 2017,Mon Oct 09 21:44:26 +0000 2017,software_update,0.46711916
215364,215363,167171,Hey @115858 your new update has killed my phone if it’s battery life. Come on.,@167171 We want to help. Which iOS version is your device currently running? You can locate this under Settings &gt; General &gt; About.,Thu Oct 05 00:37:03 +0000 2017,Thu Oct 05 01:30:32 +0000 2017,battery_charging,0.37338156
304443,304442,188702,@AppleSupport Is there a rough rough estimate on how much replacing+installing new iphone6s battery would cost at an Apple store?,@188702 You can check out service costs here: https://t.co/HKf1ErZuaH,Fri Oct 06 20:13:16 +0000 2017,Fri Oct 06 22:57:32 +0000 2017,battery_charging,0.37186086
1099682,1099680,192465,@AppleSupport  you charged me an extra fee for my Spotify Account. I’d like a refund and for Apple to cancel the subscription.,@192465 We'd be glad to get you pointed in the right direction for help. Reach out to our iTunes Store team: https://t.co/SDIe7UiyJN,Mon Oct 23 22:20:07 +0000 2017,Mon Oct 23 22:34:56 +0000 2017,purchase_payment_order,0.50350547
2038162,2038161,602646,@AppleSupport Hey I was wondering what could possibly fix my IPhone 6 from randomly shutting off. Just started happening about a week ago.,@602646 We'd be happy to look into this with you. Which country are you located in? Can you please reply in DM? https://t.co/GDrqU22YpT,Thu Oct 05 02:11:29 +0000 2017,Thu Oct 05 03:09:26 +0000 2017,device_performance,0.41084224
1930903,1930902,335887,Is there a bug on you latest update? Super short battery life and the phone keeps lagging @AppleSupport,@335887 Thanks for reaching out to us. Please send us a DM with more details about your issue and we can go from there. https://t.co/GDrqU22YpT,Sat Oct 28 11:57:53 +0000 2017,Sat Oct 28 14:34:00 +0000 2017,battery_charging,0.41466868
2058385,2058384,608774,.@115858 yall definitely slow down older phones after new updates. my phone’s never been this slow until i updated to ios 11,@608774 Please send us a DM. We'd like to work together and see what we can do about getting your iPhone back up to speed. https://t.co/GDrqU22YpT,Sat Oct 07 00:56:56 +0000 2017,Sat Oct 07 03:50:25 +0000 2017,software_update,0.35434195
1447270,1447269,453338,"@115858,a thread. Basically,I love iPhone&amp;its convenience even with all the bugs in iOS11,but I prefer the album art bigger&amp;shakeForNextSong😆 https://t.co/gl9HPbbkRu","@453338 We love feedback, let us know your ideas here:

 https://t.co/eTPVYVFyd8 https://t.co/GDrqU22YpT",Thu Nov 02 14:25:58 +0000 2017,Thu Nov 02 16:24:02 +0000 2017,software_update,0.3516534
2945628,2945627,813645,"I’m very displeased with the @115858 iPhone update. My phone is so incredibly slow now, it freezes all the time, and the apps don’t work👿👿",@813645 That’s not the experience we want you to have.  Send us a DM letting us know which country you are located in to begin. https://t.co/GDrqU22YpT,Wed Nov 29 13:52:54 +0000 2017,Wed Nov 29 15:41:00 +0000 2017,software_update,0.47864234
268230,268229,179959,@AppleSupport hi wanna run some battery health diagnostics on my phone?,@179959 Which device and iOS version are you using? Let us know in DM to begin. https://t.co/GDrqU22YpT,Fri Oct 06 00:00:31 +0000 2017,Fri Oct 06 00:34:27 +0000 2017,battery_charging,0.429955
1339689,1339687,380000,@AppleSupport what does ‘purchase of this item is not currently available. This item is being modified’ mean?,"@380000 Let’s look into this together. Tell us where you’re seeing that message, and we’ll go from there.",Fri Oct 27 10:58:36 +0000 2017,Fri Oct 27 15:29:32 +0000 2017,purchase_payment_order,0.42153096
438071,438070,219076,@AppleSupport Um why does my phone run out of charge within a few hours??,"@219076 This article has some great battery tips. We recommend a full charge after making any changes.
https://t.co/TpjqFpkUpb",Tue Oct 10 16:33:38 +0000 2017,Tue Oct 10 17:47:00 +0000 2017,battery_charging,0.5122024
1725667,1725666,521907,@115858 @AppleSupport hey guys. been sitting at you apple store in spokane WA for over 8 hours with no resolve. They lack customer care.,@521907 We'd like to hear more about your experience. Send us a DM and we'll look into this. https://t.co/GDrqU22YpT,Tue Nov 07 03:12:11 +0000 2017,Tue Nov 07 05:11:30 +0000 2017,purchase_payment_order,0.44125387
