customer_tweet_id,customer_text,support_text,gold_label,prediction
2271656,"@AppleSupport It’s every wifi connection and cellular connection. I’ve gotten every Instagram update. And I got this phone brand new 6 months ago, so it’s not that either.",@660897 Go ahead and send us a DM. We can check on some support options with you there. https://t.co/GDrqU22YpT,connectivity,software_update
1784960,Every update I download fucks my iphones up one way or another. ios11 has made it so slow and unresponsive. Good job @115858 @AppleSupport 👍,@536292 We want to be sure you get the most out of your iPhone's performance. Which iPhone are you using? DM us and let us know. https://t.co/GDrqU22YpT,device_performance,software_update
1557612,Apple. I️ pay money for your product and you won’t even let me type an i instead i get this I️. Explain  @AppleSupport,"@481473 Thank you for reaching out to us. We’re here to help. To start, we recommend following these steps: https://t.co/xU1AGHStV6",keyboard_text_input,purchase_payment_order
2945805,@AppleSupport But what if I want to use iCloud for those services? It didn’t drain my battery before IOS11. Don’t put features on a phone if they are unusable. Just feedback to the development team they need to sort out an update to fix,@266998 Let's dig a little deeper into the usage data together. DM us and we'll continue there. We want your iPhone to work as best as it is possible.,apple_app_service,battery_charging
1011838,@AppleSupport My iPhone 7 cellular and WiFi signal is a joke since I switched to iOS 11 😡,@359413 Have you updated to iOS 11.0.3 yet? https://t.co/80YRnjDFDk Send us a DM and let us know. https://t.co/GDrqU22YpT,connectivity,software_update
1788623,@AppleSupport I’ve installed the latest update .This whole 11 series updates have screwed my phone to another level.an iOS hanging is money gone the drain,@537293 This is not the experience we want for you to have with our new iOS. Let's look into this in DM here: https://t.co/GDrqU22YpT,device_performance,software_update
1387673,"@AppleSupport No, they all are. A few apps that I use often include Spotify, YouTube, Instagram, Snapchat, VSCO, Facebook. Clock, notes - all slower.","@442872 Thanks.  So we can look at all of your support options, could you provide your current location?  Please reply in DM. https://t.co/GDrqU22YpT",device_performance,apple_app_service
283598,@AppleSupport needs to tell me why only their phones are kicking me off of wifi but my laptop is perfectly fine.,@183558 We can help with Wi-Fi.  How many devices are having issues?  Is this a home network?,connectivity,apple_app_service
2271646,"@AppleSupport my phone won’t connect to any WiFi now, how many more faults can there be with this phone 😩","@660894 We can help. Tell us what happens when you try to connect to Wi-Fi networks, and we’ll partner with you to get this figured out.",connectivity,software_update
1269557,@AppleSupport any reason why iTunes have taken 27 pound out of my account.. when I pay for Apple Music monthly not happy.,@417253 Our iTunes Store team can help check this out with you. You can reach them here to get started:  https://t.co/SDIe7UiyJN,purchase_payment_order,apple_app_service
1454559,@AppleSupport Just my phone with the AirPods and sometimes wired Apple pods. And other Bluetooth apparatus.,"@127273 Got it. Let's have you back up your data, then update to the latest version of iOS, 11.0.3. Let us know if that helps",connectivity,apple_app_service
